Noun Chunk,Frequência
a muita gente,1
com certamente com justificadas razões,1
boas amizades,1
qualquer razão,1
toda a parte,1
 ao petróleo,1
e até muitos americanos,1
muitos americanos,1
" sul africanos, portugueses, espanhóis",1
todas as nacionalidades,1
muita gente mesmo,1
para que sítio,1
um irmão mais velho,1
o serviço militar,1
 o tio,1
os meus dois filhos,1
quantos anos,1
 ao fim,1
seis anos,1
que tipo,1
qualquer forma,1
a tia,1
minha irmã,1
 à malha,1
uma licença,1
o banco,1
nenhum balcão,1
o marido,1
às escondidas,1
uma carreira,1
no escalão mais baixo,1
3 anos,1
em silva porto,1
a mesma coisa,1
os meus filhos,1
na altura,1
nós tínhamos,1
duas horas,1
uma casa,1
um lar,1
sexta feira,1
a semana,1
eram sempre os rapazes,1
a tua irmã,1
o meu tio,1
o teu tio,1
a tua mãe,1
um gabinete,1
o secretariado,1
muitas brincadeiras,1
a minha carreira,1
é um balcão muito grande,1
a equipa,1
cinco pessoas,1
: o primeiro gerente,1
um segundo gerente,1
um subgerente,1
aplicações financeiras,1
a forma,1
a maneira,1
o primeiro computador,1
um metro,1
os movimentos,1
uma máquina,1
uma ficha,1
cada cliente,1
o cliente,1
um cheque,1
 à mão,1
a data,1
o número,1
o mesmo,1
os depósitos,1
essa adaptação,1
altura mais digital,1
o nosso apoio,1
o computador,1
o serviço,1
muito tempo,1
muito trabalho,1
muitos problemas,1
relativa facilidade,1
era um tipo,1
computador diferente,1
as televisões antigamente,1
 como eram umas caixas grandes,1
aquela configuração,1
mais ou menos dessas televisões,1
os bancos,1
muitos papéis,1
"muito, muito, muito trabalho administrativo",1
o sistema informático,1
num balcão,1
12 ou 13 funcionários,1
mas uma coisa,1
bancos antigamente,1
as suas economias,1
esta zona,1
os pagamentos,1
 portanto o fim,1
caixas multibanco,1
os clientes,1
uma pessoa,1
tudo isto,1
dez caixas,1
e os turnos,1
era 8 horas,1
o horário,1
mais da avó,1
serviço administrativo,1
horário normal,1
a parte administrativa,1
que dos seus irmãos,1
 mais o,1
a fusão,1
algum momento,1
as instalações antigas,1
comunidade europeia,1
moeda estrangeira,1
 especialmente os imigrantes,1
era tudo,1
tudo físico,1
dinheiro físico,1
o câmbio,1
moeda antigamente,1
como é que era o câmbio,1
valor cambial,1
a compra,1
a venda,1
 especialmente os empresários,1
os empresários,1
 à europa,1
as moedas estrangeiras,1
o país,1
a itália,1
serviços centrais,1
se fosse uma moeda,1
os serviços centrais,1
aquele balcão,1
o crédito predial português,1
a reforma,1
três balcões,1
uma freguesia,1
a guimarães,1
aqui só em guimarães,1
avenida d. joão iv,1
o toural,1
em pevidém,1
que aspeto,1
ou para o melhor,1
para pior,1
 ou coisas,1
 da netbanco,1
as operações todas,1
qualquer movimento bancário,1
a família toda,1
a autoestrada,1
os meios,1
a população,1
a qualidade,1
os seus problemas,1
e é uma cidade bonita,1
 uma cidade histórica,1
os vimaranenses,1
sua terra,1
as ruas mais limpas,1
uma mesa grande,1
 muitos espaços,1
é uma cidade típica,1
a parte histórica,1
estava numa situação,1
um bocado,1
uma vida nova,1
de incerteza,1
como tu,1
o apoio,1
tua bisavó,1
também na progressão,1
da minha vida,1
avenidas principais,1
um apartamento,1
monte largo,1
"cerca de 2,5km",1
8 ou 10 anos,1
este apartamento,1
 como tu,1
todos os serviços,1
nossa porta,1
nossa casa,1
de autocarro,1
as deslocações,1
a quantidade,1
as suas vidas,1
minha idade,1
agora as pessoas,1
a idade,1
tua mãe,1
do teu pai,1
um carro,1
a sua vida,1
" portanto, com empregos",1
um autocarro,1
o aeroporto,1
a viatura,1
aquele campo,1
irmãos gémeos,1
 com piscina,1
 com várias atividades,1
 vários ginásios,1
uma feira semanal,1
um mercado,1
vários shoppings,1
 mas hipermercados,1
 na nossa zona,1
a veterinária,1
 consultórios médicos,1
cruz verde,1
24 horas,1
 13 filhos,1
aquele apoio,1
quando fosse inverno,1
o hospital velho,1
o hospital novo,1
a inauguração concretamente,1
hospital novo,1
hospital velho,1
nossa senhora de oliveira,1
a hospital,1
muitos médicos,1
um médico,1
conforme as especialidades,1
se for medicina dentária,1
muito poucos,1
a cozinha,1
qualquer momento,1
esse médico,1
 por ironia,1
a nossa rua,1
joão afonso,1
é aquela pastelaria,1
a rua gil vicente,1
as refeições,1
quase todas as senhoras,1
o dentista,1
mais clínicas,1
as clínicas privadas,1
várias clínicas privadas,1
os dois hospitais,1
nem ao domingo,1
muitos dentistas,1
